,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saint-pierre,0,FR,1553296625,86,48.95,4.24,39.2,1.12
1,bambous virieux,20,MU,1553297040,94,-20.34,57.76,78.8,13.56
2,namatanai,12,PG,1553296760,95,-3.66,152.44,84.59,2.04
3,cabo san lucas,5,MX,1553297118,33,22.89,-109.91,80.01,6.93
4,itarema,80,BR,1553296754,98,-2.92,-39.92,75.32,1.14
5,mossendjo,92,CG,1553297350,97,-2.95,12.72,71.9,2.59
6,upernavik,20,GL,1553297357,100,72.79,-56.15,-11.99,6.17
7,fortuna,40,ES,1553297136,38,38.18,-1.13,60.8,3.36
8,flinders,56,AU,1553297345,82,-34.58,150.85,75.99,4.5
9,tasiilaq,0,GL,1553295000,65,65.61,-37.64,8.6,6.93
10,oktyabrskiy,75,RU,1553296426,93,55.61,37.97,32,13.42
11,emerald,0,AU,1553296829,83,-23.53,148.16,80.01,10.29
12,port alfred,44,ZA,1553297146,95,-33.59,26.89,68,3
13,bonthe,44,SL,1553297395,82,7.53,-12.5,81.26,5.39
14,butaritari,92,KI,1553297402,100,3.07,172.79,76.58,3.38
15,mataura,76,NZ,1553296805,68,-46.19,168.86,72,3
16,longyearbyen,75,NO,1553295000,73,78.22,15.63,24.8,10.29
17,cherskiy,0,RU,1553297418,64,68.75,161.3,-0.02,2.71
18,mount gambier,90,AU,1553295600,82,-37.83,140.78,66.2,13.87
19,busselton,0,AU,1553297382,98,-33.64,115.35,54,16.46
20,victoria,90,BN,1553293800,88,5.28,115.24,78.8,2.24
21,san patricio,0,PY,1553297437,72,-26.98,-56.83,66.14,3.94
22,rikitea,68,PF,1553297440,99,-23.12,-134.97,78.92,17.36
23,luderitz,0,NA,1553297443,92,-26.65,15.16,58.22,7.52
24,nikolskoye,20,RU,1553297435,81,59.7,30.79,34,4.47
25,imbituba,75,BR,1553295600,93,-28.24,-48.67,66.2,1.12
26,ushuaia,90,AR,1553292000,93,-54.81,-68.31,46.4,5.82
27,oranzherei,0,RU,1553293800,74,45.85,47.57,37.4,8.95
28,mahebourg,20,MU,1553297341,94,-20.41,57.7,78.8,13.56
29,dubrajpur,0,IN,1553297482,51,23.79,87.38,68.21,7.96
30,baringo,20,KE,1553297485,86,0.47,35.97,57.86,1.25
31,jamestown,92,AU,1553297398,69,-33.21,138.6,72.8,11.77
32,tuktoyaktuk,75,CA,1553295600,77,69.44,-133.03,1.4,13.87
33,punta arenas,75,CL,1553296993,62,-53.16,-70.91,55.4,6.93
34,albany,90,US,1553297339,100,42.65,-73.75,39,10.29
35,fairbanks,90,US,1553297405,42,64.84,-147.72,57,4.7
36,ponta do sol,92,BR,1553297482,93,-20.63,-46,66.41,8.97
37,krasnoselkup,,,,,,,,
38,sabha,8,LY,1553297503,39,27.03,14.43,54.89,9.64
39,port elizabeth,90,US,1553297476,56,39.31,-74.98,48.2,14.99
40,ouricuri,44,BR,1553297522,94,-7.88,-40.08,71,5.17
41,port-gentil,20,GA,1553295600,88,-0.72,8.78,78.8,2.24
42,souillac,0,FR,1553297409,66,45.6,-0.6,51.8,6.93
43,taolanaro,,,,,,,,
44,kodiak,1,US,1553297440,3,39.95,-94.76,63,3.36
45,tromso,75,NO,1553296800,97,69.65,18.96,37.4,39.15
46,pahrump,1,US,1553296909,27,36.21,-115.98,66.99,21.92
47,hilo,75,US,1553297486,61,19.71,-155.08,78.8,11.41
48,geraldton,5,CA,1553295600,36,49.72,-86.95,28.4,6.93
49,bethel,1,US,1553295360,70,60.79,-161.76,42.8,13.87
50,tiksi,36,RU,1553297476,70,71.64,128.87,6.29,4.16
51,klaksvik,44,FO,1553296800,69,62.23,-6.59,35.6,26.4
52,naze,40,NG,1553295600,94,5.43,7.07,77,4.72
53,ostrovnoy,20,RU,1553297499,79,68.05,39.51,19.25,16.24
54,kapaa,40,US,1553297319,61,22.08,-159.32,80.6,14.99
55,cape town,0,ZA,1553297166,82,-33.93,18.42,70,11.41
56,subtanjalla,0,PE,1553295600,30,-14.02,-75.76,71.6,18.34
57,pangkalanbuun,36,ID,1553297048,92,-2.68,111.62,76.76,4.16
58,thompson,40,CA,1553295600,39,55.74,-97.86,48.2,10.29
59,vaini,0,IN,1553297481,79,15.34,74.49,62.09,1.7
60,ancud,75,CL,1553295600,93,-41.87,-73.83,53.6,14.99
61,canatlan,20,MX,1553297417,10,24.52,-104.78,75.2,21.92
62,noyabrsk,8,RU,1553297625,76,63.2,75.45,13.13,2.93
63,soyo,92,AO,1553297642,86,-6.13,12.37,82.25,4.27
64,haines junction,12,CA,1553297603,53,60.75,-137.51,46.43,3.6
65,hermanus,24,ZA,1553297417,84,-34.42,19.24,64,5.99
66,new norfolk,40,AU,1553297415,68,-42.78,147.06,66.99,10.29
67,tuatapere,56,NZ,1553297408,65,-46.13,167.69,72,3
68,umzimvubu,,,,,,,,
