,Unnamed: 0,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,0,bretzfeld,0.0,DE,1553315252.0,77.0,49.18,9.44,45.0,2.24
1,1,punta arenas,20.0,CL,1553314990.0,87.0,-53.16,-70.91,48.2,9.17
2,2,saint george,40.0,GR,1553313000.0,93.0,39.45,22.34,41.0,2.62
3,3,port elizabeth,40.0,US,1553315253.0,60.0,39.31,-74.98,42.01,17.22
4,4,atuona,32.0,PF,1553315178.0,99.0,-9.8,-139.03,82.58,15.82
5,5,qurunbaliyah,,,,,,,,
6,6,rikitea,88.0,PF,1553315262.0,100.0,-23.12,-134.97,78.35,18.84
7,7,hilo,75.0,US,1553315240.0,73.0,19.71,-155.08,73.99,8.05
8,8,tuktoyaktuk,75.0,CA,1553313600.0,76.0,69.44,-133.03,-4.01,19.46
9,9,hermanus,12.0,ZA,1553314602.0,89.0,-34.42,19.24,64.0,5.01
10,10,mount isa,40.0,AU,1553313600.0,43.0,-20.73,139.49,89.6,14.99
11,11,iracoubo,92.0,GF,1553315263.0,83.0,5.48,-53.21,76.82,6.2
12,12,butaritari,88.0,KI,1553315156.0,100.0,3.07,172.79,77.18,2.62
13,13,lampazos de naranjo,36.0,MX,1553315263.0,74.0,27.02,-100.51,67.19,7.99
14,14,kattivakkam,40.0,IN,1553313600.0,66.0,13.22,80.32,87.8,9.17
15,15,souillac,0.0,FR,1553315228.0,75.0,45.6,-0.6,43.0,4.29
16,16,hakvik,,,,,,,,
17,17,dubai,0.0,AE,1553315053.0,47.0,25.27,55.3,78.01,6.93
18,18,tsihombe,,,,,,,,
19,19,arraial do cabo,56.0,BR,1553315264.0,93.0,-22.97,-42.02,76.37,8.88
20,20,umm lajj,24.0,SA,1553315264.0,100.0,25.02,37.27,60.08,5.3
21,21,castro,90.0,CL,1553313600.0,100.0,-42.48,-73.76,55.4,6.93
22,22,tasiilaq,68.0,GL,1553313000.0,43.0,65.61,-37.64,12.2,6.93
23,23,qaanaaq,20.0,GL,1553315265.0,92.0,77.48,-69.36,-29.57,9.33
24,24,pevek,0.0,RU,1553315161.0,76.0,69.7,170.27,-3.38,2.62
25,25,albany,90.0,US,1553315226.0,80.0,42.65,-73.75,34.0,25.28
26,26,saint-philippe,90.0,CA,1553315256.0,94.0,45.36,-73.48,36.0,21.92
27,27,basco,1.0,US,1553315137.0,64.0,40.33,-91.2,46.99,3.36
28,28,guzelyurt,0.0,TR,1553313000.0,86.0,38.28,34.37,27.0,3.36
29,29,mataura,64.0,NZ,1553315163.0,48.0,-46.19,168.86,76.82,5.19
30,30,sergeyevka,48.0,KZ,1553315266.0,75.0,53.88,67.42,20.84,2.62
31,31,halifax,90.0,CA,1553315264.0,100.0,44.65,-63.58,39.0,20.8
32,32,salihli,0.0,TR,1553315267.0,86.0,38.48,28.15,33.17,2.06
33,33,houma,32.0,CN,1553315267.0,43.0,35.63,111.36,49.64,2.28
34,34,kapaa,75.0,US,1553315011.0,78.0,22.08,-159.32,78.8,20.8
35,35,cidreira,56.0,BR,1553315267.0,99.0,-30.17,-50.22,63.5,10.67
36,36,pangai,20.0,TO,1553310000.0,61.0,-19.8,-174.35,82.4,10.29
37,37,morant bay,20.0,JM,1553310000.0,69.0,17.88,-76.41,78.8,5.82
38,38,bredasdorp,24.0,ZA,1553314566.0,93.0,-34.53,20.04,64.0,3.36
39,39,bluff,0.0,AU,1553315173.0,50.0,-23.58,149.07,90.32,8.21
40,40,geraldton,5.0,CA,1553313600.0,61.0,49.72,-86.95,14.0,2.24
41,41,tabukiniberu,,,,,,,,
42,42,lagoa,0.0,PT,1553315230.0,71.0,37.14,-8.45,57.0,8.05
43,43,avarua,100.0,CK,1553311800.0,78.0,-21.21,-159.78,82.4,3.36
44,44,busselton,0.0,AU,1553315130.0,28.0,-33.64,115.35,72.0,13.24
45,45,svetlaya,32.0,RU,1553315219.0,100.0,46.54,138.33,24.8,5.41
46,46,bethel,75.0,US,1553313360.0,70.0,60.79,-161.76,42.8,8.05
47,47,airai,8.0,TL,1553315241.0,57.0,-8.93,125.41,84.56,2.62
48,48,yulara,0.0,AU,1553313600.0,10.0,-25.24,130.99,104.0,12.75
49,49,lompoc,1.0,US,1553315147.0,87.0,34.64,-120.46,55.4,4.7
50,50,marsabit,0.0,KE,1553315273.0,64.0,2.34,37.99,72.68,6.87
